sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC_F1_57-1_nov11,2/2/2017,570.06,11.401,5.466,2.09,2.21,0.517,NA
AFC_F1_48-4_nov11,2/2/2017,556.78,11.136,5.232,2.13,2.12,0.501,NA
AFC_F1_57-3_feb02,2/2/2017,550.15,11.003,5.013,2.19,2.2,0.235,NA
AFC_F1_47-3_nov11,2/2/2017,521.26,10.425,5.227,1.99,1.99,0.552,NA
AFC_F1_24-4_feb02,2/2/2017,506.73,10.135,4.808,2.11,1.7,1.291,NA
AFC_F1_50-4_feb02,2/2/2017,503.08,10.062,4.471,2.25,2.19,0.177,NA
AFC_F1_54-3_feb02,2/2/2017,482.55,9.651,4.483,2.15,2.19,0.213,NA
AFC_F1_54-2_feb02,2/2/2017,461.4,9.228,4.194,2.2,2.24,0.167,NA
AFC_F1_47-3_nov11,2/2/2017,450.2,9.004,4.233,2.13,2.12,0.28,NA
AFC_F1_54-1_feb02,2/2/2017,406.68,8.134,3.676,2.21,2.27,0.093,NA
AFC_F1_60-4_nov11,2/2/2017,403.75,8.075,3.871,2.09,1.83,1.304,NA
AFC_F1_30-4_nov11,2/2/2017,400.33,8.007,3.687,2.17,2.29,0.377,NA
AFC_F1_57-4_feb02,2/2/2017,396.02,7.92,3.664,2.16,2.37,0.058,NA
AFC_F1_56-4_feb02,2/2/2017,394.55,7.891,3.55,2.22,2.35,0.111,NA
AFC_F1_47-2_nov11,2/2/2017,393.3,7.866,3.933,2,1.44,1.392,NA
AFC_F1_47-2_nov11,2/2/2017,391.18,7.824,3.948,1.98,1.33,1.062,NA
AFC_F1_28-3_nov11,2/2/2017,388.14,7.763,3.545,2.19,2.43,0.176,NA
AFC_F1_30-1_nov11,2/2/2017,379.47,7.589,3.393,2.24,2.27,0.037,NA
AFC_F1_55-3_feb02,2/2/2017,378.25,7.565,3.464,2.18,2.37,0.064,NA
AFC_F1_42-2_nov11,2/2/2017,349,6.98,3.361,2.08,1.67,0.53,NA
AFC_F1_59-1_nov11,2/2/2017,332.49,6.65,3.137,2.12,1.89,0.354,NA
AFC_F1_50-3_feb02,2/2/2017,325.39,6.508,3.001,2.17,2.3,0.139,NA
AFC_F1_55-4_feb02,2/2/2017,312.26,6.245,2.899,2.15,2.62,-0.032,NA
AFC_F1_50-2_nov11,2/2/2017,312.13,6.243,2.958,2.11,1.87,0.369,NA
AFC_F1_56-1_feb02,2/2/2017,298.22,5.964,2.63,2.27,2.48,0.015,NA
AFC_F1_49-1_feb02,2/2/2017,284.39,5.688,3.045,1.87,1,1.37,NA
AFC_F1_24-3_feb02,2/2/2017,277.93,5.559,2.524,2.2,2.26,0.183,NA
AFC_F1_60-3_nov11,2/2/2017,264.13,5.283,2.826,1.87,0.98,1.409,NA
AFC_F1_56-2_feb02,2/2/2017,261.35,5.227,2.344,2.23,2.34,0.033,NA
AFC_F1_48-2_nov11,2/2/2017,255.39,5.108,2.374,2.15,2.12,0.144,NA
AFC_F1_28-2_nov11,2/2/2017,253.92,5.078,2.466,2.06,2.15,0.465,NA
AFC_F1_49-4_feb02,2/2/2017,252.93,5.059,2.569,1.97,1.24,0.825,NA
AFC_F1_30-3_nov11,2/2/2017,249.23,4.985,2.281,2.19,2.43,0.026,NA
AFC_F1_48-1_nov11,2/2/2017,248.88,4.978,2.29,2.17,1.97,0.269,NA
AFC_F1_47-1_nov11,2/2/2017,211.33,4.227,2.038,2.07,1.67,0.322,NA
AFC_F1_60-1_nov11,2/2/2017,208.06,4.161,1.896,2.19,2.27,0.057,NA
AFC_F1_49-1_feb02,2/2/2017,201.74,4.035,2.053,1.97,1.28,0.568,NA
AFC_F1_29-3_nov11,2/2/2017,187.05,3.741,1.939,1.93,1.24,0.621,NA
AFC_F1_29-3_nov11,2/2/2017,174.58,3.492,1.765,1.98,1.39,0.901,NA
AFC_F1_59-2_nov11,2/2/2017,154.87,3.097,1.486,2.08,1.55,0.28,NA
AFC_F1_60-3_nov11,2/2/2017,154.51,3.09,1.507,2.05,1.34,0.351,NA
AFC_F1_49-4_feb02,2/2/2017,146.2,2.924,1.338,2.19,2,0.073,NA
AFC_F1_29-2_nov11,2/2/2017,128.71,2.574,1.314,1.96,2.09,0.045,NA
AFC_F1_29-1_nov11,2/2/2017,118.9,2.378,1.142,2.08,2.08,0.101,NA
AFC_F1_29-4_nov11,2/2/2017,112.42,2.248,1.135,1.98,1.7,0.381,NA
AFC_F1_59-3_nov11,2/2/2017,100.23,2.005,0.97,2.07,1.62,0.105,NA
AFC_F1_49-3_feb02,2/2/2017,78.85,1.577,0.769,2.05,2.04,-0.006,NA
AFC_F1_57-2_nov11,2/2/2017,54.57,1.091,0.522,2.09,2.41,-0.033,NA
AFC_F1_24-2_feb02,2/2/2017,38.93,0.779,0.388,2,2.63,-0.009,NA
AFC_F1_48-3_nov11,2/2/2017,38.08,0.762,0.374,2.04,2.21,-0.021,NA
AFC_F1_24-2_feb02,2/2/2017,37.93,0.759,0.344,2.21,2.64,-0.003,NA
AFC_F1_48-3_nov11,2/2/2017,37.38,0.748,0.368,2.03,2.29,-0.019,NA
AFC_F1_30-2_nov11,2/2/2017,24.61,0.492,0.229,2.15,1.86,-0.029,NA
AFC_F1_30-2_nov11,2/2/2017,23.32,0.466,0.215,2.17,2.7,-0.041,NA
AFC_F1_25-1_sept28,2/2/2017,23.3,0.466,0.213,2.19,2.09,-0.008,NA
AFC_F1_25-1_sept28,2/2/2017,22.66,0.453,0.197,2.3,2.24,0,NA
AFC_F1_54-4_feb02,2/2/2017,21.7,0.434,0.231,1.88,1.98,-0.068,NA
AFC_F1_51-1_sept28,2/2/2017,21.66,0.433,0.174,2.48,2.39,-0.027,NA
